StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage," ",Q1,Q8,Q13,Q15,Q17,Q21,Q19
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Age,Gender,How often do you shop online?,"How much are you willing to pay for this cookie product (maximum you are willing to pay?)


(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this cup product (maximum you are willing to pay?)


(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this shoe product (maximum you are willing to pay?)

(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this headphones product (maximum you are willing to pay?)

(Please enter number in USD, no ""$"" or decimals- just a number)","How much are you willing to pay for this perfume product (maximum you are willing to pay?)

(Please enter number in USD, no ""$"" or decimals- just a number)"
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4""}","{""ImportId"":""QID8""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID22_TEXT""}"
2026-02-21 23:29:12,2026-02-21 23:29:57,0,73.218.219.156,100,44,1,2026-02-21 23:29:57,R_57yhLhJSJEty4Sw,,,,,42.2783,-71.1593,anonymous,EN,2,1,4,1.5,3,49.99,40,60
2026-02-21 23:29:18,2026-02-21 23:30:08,0,69.31.37.19,100,50,1,2026-02-21 23:30:09,R_35TlKdJzxulrBFx,,,,,42.3574,-71.0618,anonymous,EN,2,2,3,10,20,30,50,80
2026-02-21 23:29:32,2026-02-21 23:30:57,0,209.6.107.154,100,85,1,2026-02-21 23:30:57,R_5MgxYxUD8U3eTLj,,,,,42.2904,-71.0712,anonymous,EN,2,2,2,2,8,60,90,80
2026-02-21 23:30:56,2026-02-21 23:31:52,0,38.42.239.86,100,55,1,2026-02-21 23:31:52,R_6a9QX5xuLBC8LEJ,,,,,42.3474,-71.1582,anonymous,EN,2,2,4,3,3,70,50,50
2026-02-21 23:30:54,2026-02-21 23:31:55,0,24.34.211.210,100,60,1,2026-02-21 23:31:55,R_1o6qNSuThZO9zoZ,,,,,42.3474,-71.1582,anonymous,EN,2,2,3,7,7,200,158,35
2026-02-21 23:33:25,2026-02-21 23:34:37,0,66.30.245.121,100,71,1,2026-02-21 23:34:37,R_3duzaNhuDJuGddh,,,,,42.2904,-71.0712,anonymous,EN,2,1,3,2,19.99,150,59.99,175
2026-02-21 23:34:43,2026-02-21 23:36:51,0,151.203.12.167,100,127,1,2026-02-21 23:36:51,R_6JW16ibVieNYMCJ,,,,,42.364,-71.0265,anonymous,EN,3,1,4,3,20,65,40,30
2026-02-21 23:37:20,2026-02-21 23:38:01,0,156.146.98.2,100,40,1,2026-02-21 23:38:01,R_5xGWYiLulBFKmXL,,,,,42.3474,-71.1582,anonymous,EN,2,1,2,1,9.99,200,50,50
2026-02-21 23:57:42,2026-02-21 23:58:51,0,24.218.219.29,100,69,1,2026-02-21 23:58:51,R_5LpnLBbHaOC698U,,,,,42.3474,-71.1582,anonymous,EN,2,1,4,3,9,69,199,99
2026-02-21 23:59:06,2026-02-22 00:00:14,0,24.34.211.179,100,68,1,2026-02-22 00:00:15,R_1ZBtPYxk4btrkEf,,,,,42.3474,-71.1582,anonymous,EN,2,1,2,2,8,100,30,30
2026-02-22 04:42:01,2026-02-22 04:43:49,0,73.109.251.60,100,107,1,2026-02-22 04:43:50,R_5kH2uPc1hUzi7gh,,,,,47.7345,-117.447,anonymous,EN,3,1,3,2,5,100,121,100
2026-02-22 04:42:32,2026-02-22 04:46:22,0,67.183.42.6,100,229,1,2026-02-22 04:46:22,R_6uV6OnFzReX09AI,,,,,47.6289,-117.5513,anonymous,EN,5,2,3,5,10,86,88,45
2026-02-22 04:43:38,2026-02-22 04:47:20,0,73.11.153.183,100,221,1,2026-02-22 04:47:20,R_6FKXNJ3BtAUkb2W,,,,,47.7345,-117.447,anonymous,EN,4,2,3,8,12,120,250,100
2026-02-22 05:04:55,2026-02-22 05:05:48,0,75.172.109.177,100,53,1,2026-02-22 05:05:48,R_69azbuGqJH8LUzi,,,,,47.5834,-122.2979,anonymous,EN,3,2,1,3,10,60,100,50
2026-02-22 05:31:55,2026-02-22 05:34:11,0,69.56.109.251,100,135,1,2026-02-22 05:34:12,R_5M09J8aRpNFLnY3,,,,,46.9965,-120.5478,anonymous,EN,2,1,2,5,10,60,60,30
2026-02-22 06:22:06,2026-02-22 06:22:59,0,69.209.25.101,100,52,1,2026-02-22 06:22:59,R_3s695afoTlDGxtD,,,,,37.472,-122.2312,anonymous,EN,4,2,1,1,5,30,40,45
2026-02-22 16:37:48,2026-02-22 16:39:38,0,73.234.192.247,100,109,1,2026-02-22 16:39:38,R_3SCy1UBDe926wxn,,,,,42.3498,-71.0765,anonymous,EN,3,2,3,6,20,50,50,50
2026-02-22 16:41:40,2026-02-22 16:45:57,0,73.61.147.133,100,256,1,2026-02-22 16:45:57,R_1lLk6KkThqf4UI9,,,,,42.3556,-71.1164,anonymous,EN,3,1,2,3,7,95,50,15
2026-02-22 16:43:55,2026-02-22 16:46:49,0,185.169.0.250,100,173,1,2026-02-22 16:46:50,R_7JS1ucEKfwYxJyu,,,,,37.353,-121.9544,anonymous,EN,5,1,2,8,15,85,45,10
2026-02-22 16:54:08,2026-02-22 16:56:55,0,70.109.217.136,100,167,1,2026-02-22 16:56:56,R_7FPbbaEPcMgSgL3,,,,,42.3291,-71.1815,anonymous,EN,2,1,3,4,14,80,75,6
2026-02-22 18:15:47,2026-02-22 18:18:26,0,75.52.91.176,100,158,1,2026-02-22 18:18:27,R_3JJzpmrWgHBPNxG,,,,,37.7652,-122.1579,anonymous,EN,2,2,1,7,30,140,150,60
2026-02-22 19:58:52,2026-02-22 20:00:10,0,172.56.198.169,100,77,1,2026-02-22 20:00:10,R_7jYYUCZTYOsxgYW,,,,,42.415,-71.0527,anonymous,EN,3,2,2,4,12,90,30,50
2026-02-22 20:04:18,2026-02-22 20:05:14,0,76.32.116.150,100,56,1,2026-02-22 20:05:14,R_3ImCqGIkXpy2y1r,,,,,34.029,-118.4005,anonymous,EN,3,2,3,3,10,100,50,60
2026-02-22 21:30:54,2026-02-22 21:32:20,0,24.207.134.222,100,86,1,2026-02-22 21:32:21,R_6wvNCgQHZM3tB96,,,,,38.6664,-90.322,anonymous,EN,3,2,2,5,15,80,20,25
2026-02-24 02:59:33,2026-02-24 03:00:30,0,76.103.233.228,100,57,1,2026-02-24 03:00:31,R_5qgXYJd1OcVXHEr,,,,,37.7836,-122.4353,anonymous,EN,2,2,2,10,15,100,150,100
2026-02-25 21:43:49,2026-02-25 21:47:08,0,73.61.2.127,100,198,1,2026-02-25 21:47:08,R_3IxWkYceQR8QscE,,,,,42.3427,-71.0922,anonymous,EN,2,2,2,0,30,100,80,120
2026-02-25 22:47:28,2026-02-25 22:48:21,0,136.56.55.172,100,52,1,2026-02-25 22:48:21,R_3kZzv1hpjWq5nrP,,,,,35.7965,-78.7981,anonymous,EN,2,2,4,6,15,150,80,30
2026-02-25 23:00:19,2026-02-25 23:04:07,0,73.218.19.187,100,228,1,2026-02-25 23:04:08,R_5aIkzju8SpGWy3v,,,,,42.3474,-71.1582,anonymous,EN,2,2,2,3,5,80,90,30
2026-02-25 23:19:38,2026-02-25 23:20:44,0,1.38.159.18,100,66,1,2026-02-25 23:20:44,R_4pGKiZsJZtoy4sF,,,,,23.0276,72.5871,anonymous,EN,4,1,2,5,10,90,100,5
2026-02-25 23:23:48,2026-02-25 23:26:43,0,32.217.30.131,100,175,1,2026-02-25 23:26:43,R_5vALxxxFJxBO68F,,,,,41.8237,-72.6212,anonymous,EN,3,1,3,2,5,90,50,20
2026-02-25 23:43:55,2026-02-25 23:46:24,0,128.197.28.135,100,148,1,2026-02-25 23:46:25,R_6ZOyF094IVWDm47,,,,,42.3464,-71.0975,anonymous,EN,2,1,3,10,5,80,25,15
2026-02-26 02:28:35,2026-02-26 02:29:43,0,71.232.150.52,100,67,1,2026-02-26 02:29:43,R_7GBvAhzLkpYqu8x,,,,,42.2904,-71.0712,anonymous,EN,2,2,2,3,8,180,50,25
2026-02-26 06:25:43,2026-02-26 06:26:42,0,122.161.67.196,100,59,1,2026-02-26 06:26:43,R_9QEZdijSOssezhF,,,,,28.5759,77.3345,anonymous,EN,2,2,3,10,25,80,40,40
2026-02-26 14:31:46,2026-02-26 14:32:38,0,128.197.28.177,100,51,1,2026-02-26 14:32:38,R_5OHXc8Y0tyEctyG,,,,,42.3464,-71.0975,qr,EN,2,1,1,2,5,60,100,30
